Description,Manufacturer Part Number,Digi-Key Part #,Quantity, Unit Price (USD) 
"DC POWER JACK, THRU HOLE, HORIZO",DCJ200-10-A-K1-K,2073-DCJ200-10-A-K1-K-ND,1, $0.790 
RES 330 OHM 5% 1/8W 0805,RC0805JR-07330RL,311-330ARCT-ND,11, $0.010 
RES 1K OHM 1% 1/16W 0402,WR04X1001FTL,1292-WR04X1001FTLCT-ND,5, $0.004 
"TRANSISTOR, 25V 300MW 500MA 150MHZ 600MV@500",S8050,4518-S8050CT-ND,1, $0.230 
RES 2M OHM 1% 1/8W 0805,RC0805FR-072ML,311-2.00MCRCT-ND,1, $0.040 
IC DECADE COUNTER 10-BIT 16SOIC,CD4017BM96,296-25940-1-ND,1, $0.630 
RES 10K OHM 5% 1/8W 0805,RC0805JR-0710KL,311-10KARCT-ND,2, $0.030 
DIODE GEN PURP 100V 150MA SOD123,1N4148W-TP,1N4148WTPMSCT-ND,1, $0.100 
RES 1K OHM 1% 1/2W 1206,RNCP1206FTD1K00,RNCP1206FTD1K00CT-ND,5, $0.090 
IC OSC SGL TIMER 100KHZ 8-SOIC,NE555DR,296-6501-1-ND,1, $0.520 
"RED LED, 2.0(L)X1.3(W)X0.8(H) MM",B1701USD-20D000114U1930,3147-B1701USD-20D000114U1930CT-ND,10, $0.100 
"BLUE LED, 2.0(L)X1.3(W)X0.8(H) MM",B1701NB--20D000114U1930,3147-B1701NB--20D000114U1930CT-ND,1, $0.110 
CAP CER 0.1UF 50V X7R 0603,C0603C104M5RAC7867,399-C0603C104M5RAC7867CT-ND,5, $0.010 
CAP CER 0.1UF 50V X7R 0805,C0805C104M5RAC7800,399-C0805C104M5RAC7800CT-ND,2, $0.070 
